Dataset Name,Donated Date,Description,Dataset Characteristics,Subject Area,Associated Tasks,Feature Type,Instances,Features
Lymphography, 10/31/1988,"This lymphography domain was obtained from the University Medical Centre, Institute of Oncology, Ljubljana, Yugoslavia.  (Restricted access)",Multivariate,Health and Medicine,Classification,Categorical,148,19
Annealing,N/A,Steel annealing data,Multivariate,Physics and Chemistry,Classification,"Categorical, Integer, Real",798,38
Algerian Forest Fires, 10/21/2019,The dataset includes 244 instances that regroup a data of two regions of Algeria.,Multivariate,Biology,"Classification, Regression",Real,244,14
PhiUSIIL Phishing URL (Website), 3/3/2024,"PhiUSIIL Phishing URL Dataset is a substantial dataset comprising 134,850 legitimate and 100,945 phishing URLs. Most of the URLs we analyzed, while constructing the dataset, are the latest URLs. Features are extracted from the source code of the webpage and URL. Features such as CharContinuationRate, URLTitleMatchScore, URLCharProb, and TLDLegitimateProb are derived from existing features.",Tabular,Computer Science,Classification,"Real, Categorical, Integer",235795,54
Bach Chorales,N/A,Time-series data based on chorales; challenge is to learn generative grammar; data in Lisp,"Univariate, Time-Series",Other,-,"Categorical, Integer",100,6
PAMAP2 Physical Activity Monitoring, 8/5/2012,"The PAMAP2 Physical Activity Monitoring dataset contains data of 18 different physical activities, performed by 9 subjects wearing 3 inertial measurement units and a heart rate monitor.","Multivariate, Time-Series",Computer Science,Classification,Real,3850505,-
MHEALTH, 12/6/2014,The MHEALTH (Mobile Health) dataset is devised to benchmark techniques dealing with human behavior analysis based on multimodal body sensing.,"Multivariate, Time-Series",Computer Science,Classification,Real,120,-
Room Occupancy Estimation, 8/15/2023,"Data set for estimating the precise number of occupants in a room using multiple non-intrusive environmental sensors like temperature, light, sound, CO2 and PIR.","Multivariate, Time-Series",Computer Science,Classification,Real,10129,18
Japanese Credit Screening, 3/18/1992,Includes domain theory (generated by talking to Japanese domain experts); data in Lisp,"Multivariate, Domain-Theory",Business,Classification,"Categorical, Real, Integer",125,15
Daily and Sports Activities, 7/7/2013,"The dataset comprises motion sensor data of 19 daily and sports activities each performed by 8 subjects in their own style for 5 minutes. Five Xsens MTx units are used on the torso, arms, and legs.","Multivariate, Time-Series",Computer Science,"Classification, Clustering",Real,9120,5625
TCGA Kidney Cancers,Linked on 9/25/2023,"The TCGA Kidney Cancers Dataset is a bulk RNA-seq dataset that contains transcriptome profiles of patients diagnosed with three different subtypes of kidney cancers. This dataset can be used to make predictions about the specific subtype of kidney cancers given the normalized transcriptome profile data, as well as providing a hands-on experience on large and sparse genomic information.","Tabular, Multivariate",Health and Medicine,"Classification, Clustering",Real,1024,60660
Beijing PM2.5, 1/18/2017,"This hourly data set contains the PM2.5 data of US Embassy in Beijing. Meanwhile, meteorological data from Beijing Capital International Airport are also included.","Multivariate, Time-Series",Climate and Environment,Regression,"Integer, Real",43824,11
detection_of_IoT_botnet_attacks_N_BaIoT, 3/18/2018,"This dataset addresses the lack of public botnet datasets, especially for the IoT. It suggests *real* traffic data, gathered from 9 commercial IoT devices authentically infected by Mirai and BASHLITE.","Multivariate, Sequential",Computer Science,"Classification, Clustering",Real,7062606,-
Facebook Metrics, 8/4/2016,Facebook performance metrics of a renowned cosmetic's brand Facebook page.,Multivariate,Business,Regression,Integer,500,18
Website Phishing, 11/1/2016,,Multivariate,Computer Science,Classification,Integer,1353,9
In-Vehicle Coupon Recommendation, 9/14/2020,This data studies whether a person will accept the coupon recommended to him in different driving scenarios,Multivariate,Business,Classification,"Categorical, Integer",12684,25
South German Credit, 6/19/2020,700 good and 300 bad credits with 20 predictor variables. Data from 1973 to 1975. Stratified sample from actual credits with bad credits heavily oversampled. A cost matrix can be used.,Multivariate,Business,"Classification, Regression, Clustering","Integer, Real",1000,21
DeFungi, 1/28/2023,"DeFungi is a dataset for direct mycological examination of microscopic fungi images. The images are from superficial fungal infections caused by yeasts, moulds, or dermatophyte fungi. The images have been manually labelled into five classes and curated with a subject matter expert assistance. The images have been cropped with automated algorithms to produce the final dataset.",Image,Computer Science,Classification,Real,9114,-
Page Blocks Classification, 6/30/1995,The problem consists of classifying all the blocks of the page layout of a document that has been detected by a segmentation process.,Multivariate,Computer Science,Classification,"Integer, Real",5473,10
SECOM, 11/18/2008,Data from a semi-conductor manufacturing process,Multivariate,Computer Science,"Classification, Causal-Discovery",Real,1567,591
Gender by Name, 3/14/2020,"This dataset attributes first names to genders, giving counts and probabilities.  It combines open-source government data from the US, UK, Canada, and Australia.",Text,Social Science,"Classification, Clustering",-,147270,4
Chess (King-Rook vs. King), 5/31/1994,Chess Endgame Database for White King and Rook against Black King (KRK).,Multivariate,Games,Classification,"Categorical, Integer",28056,6
Daily Demand Forecasting Orders, 11/20/2017,"The dataset was collected during 60 days, this is a real database of a brazilian logistics company.",Time-Series,Business,Regression,Integer,60,12
HAR70+, 2/22/2023,The Human Activity Recognition 70+ (HAR70+) dataset is a professionally-annotated dataset containing 18 fit-to-frail older-adult subjects (70-95 years old) wearing two 3-axial accelerometers for around 40 minutes during a semi-structured free-living protocol. The sensors were attached to the right thigh and lower back.,"Multivariate, Time-Series",Computer Science,Classification,Real,2259597,6
SUPPORT2,Linked on 9/14/2023,"This dataset comprises 9105 individual critically ill patients across 5 United States medical centers, accessioned throughout 1989-1991 and 1992-1994.
Each row concerns hospitalized patient records who met the inclusion and exclusion criteria for nine disease categories: acute respiratory failure, chronic obstructive pulmonary disease, congestive heart failure, liver disease, coma, colon cancer, lung cancer, multiple organ system failure with malignancy, and multiple organ system failure with sepsis. The goal is to determine these patients' 2- and 6-month survival rates based on several physiologic, demographics, and disease severity information. 
It is an important problem because it addresses the growing national concern over patients' loss of control near the end of life. It enables earlier decisions and planning to reduce the frequency of a mechanical, painful, and prolonged dying process.","Tabular, Multivariate",Health and Medicine,"Classification, Regression, Other","Real, Categorical, Integer",9105,42
EEG Eye State, 6/9/2013,The data set consists of 14 EEG values and a value indicating the eye state.,"Multivariate, Sequential, Time-Series",Health and Medicine,Classification,"Integer, Real",14980,14
Cylinder Bands, 7/31/1995,"Used in decision tree induction for mitigating process delays known as cylinder bands"" in rotogravure printing""",Multivariate,Physics and Chemistry,Classification,"Categorical, Integer, Real",512,39
Multivariate Gait Data, 12/14/2022,"Bilateral (left, right) joint angle (ankle, knee, hip) times series data collected from 10 healthy subjects under 3 walking conditions (unbraced, knee braced, ankle braced). For each condition, each subjectâs data consists of 10 consecutive gait cycles.","Sequential, Multivariate, Time-Series",Health and Medicine,"Classification, Regression, Clustering","Real, Categorical, Integer",181800,7
Year Prediction MSD, 2/6/2011,"Prediction of the release year of a song from audio features. Songs are mostly western, commercial tracks ranging from 1922 to 2011, with a peak in the year 2000s.",Multivariate,Other,Regression,Real,515345,-
Mammographic Mass, 10/28/2007,Discrimination of benign and malignant mammographic masses based on BI-RADS attributes and the patient's age.,Multivariate,Health and Medicine,Classification,Integer,961,5
Hayes-Roth, 2/28/1989,Topic: human subjects study,Multivariate,Social Science,Classification,Categorical,160,4
El Nino, 6/29/1999,The data set contains oceanographic and surface meteorological readings taken from a series of buoys positioned throughout the equatorial Pacific.,Other,Climate and Environment,Other,"Integer, Real",178080,11
Smartphone Dataset for Anomaly Detection in Crowds, 7/4/2021,"This dataset was collected from the Smartphone sensors and can be used to analyse behaviour of a crowd, for example, an anomaly.",Time-Series,Computer Science,Classification,-,14221,-
Autism Screening Adult, 12/23/2017,Autistic Spectrum Disorder Screening Data for Adult. This dataset is related to classification and predictive tasks.,-,Social Science,Classification,Integer,704,20
Ozone Level Detection, 4/20/2008,"Two ground ozone level data sets are included in this collection. One is the eight hour peak set (eighthr.data), the other is the one hour peak set (onehr.data). Those data were collected from 1998 to 2004 at the Houston, Galveston and Brazoria area.","Multivariate, Sequential, Time-Series",Climate and Environment,Classification,Real,2536,72
Vertebral Column, 8/8/2011,"Data set containing values for six biomechanical features used to classify orthopaedic patients into 3 classes (normal, disk hernia or spondilolysthesis) or 2 classes (normal or abnormal).",Multivariate,Health and Medicine,Classification,Real,310,6
HARTH, 2/20/2023,The Human Activity Recognition Trondheim (HARTH) dataset is a professionally-annotated dataset containing 22 subjects wearing two 3-axial accelerometers for around 2 hours in a free-living setting. The sensors were attached to the right thigh and lower back. The professional recordings and annotations provide a promising benchmark dataset for researchers to develop innovative machine learning approaches for precise HAR in free living.,"Multivariate, Time-Series",Computer Science,Classification,Real,6461328,8
Musk (Version 2), 9/11/1994,The goal is to learn to predict whether new molecules will be musks or non-musks,Multivariate,Physics and Chemistry,Classification,Integer,6598,166
Labor Relations, 10/31/1988,From Collective Bargaining Review,Multivariate,Social Science,-,"Categorical, Integer, Real",57,16
Steel Plates Faults, 10/25/2010,"A dataset of steel platesÃ¢â¬â¢ faults, classified into 7 different types. 
The goal was to train machine learning for automatic pattern recognition.",Multivariate,Physics and Chemistry,Classification,"Integer, Real",1941,27
MNIST Database of Handwritten Digits,Linked on 10/16/2021,"Well-known database of 70,000 handwritten digits (10 class labels) with each example represented as an image of 28 x 28 gray-scale pixels.",Image,Other,Classification,Real,70000,-
Facebook Live Sellers in Thailand, 4/21/2019,"Facebook pages of 10 Thai fashion and cosmetics retail sellers. Posts of a different nature (video, photos, statuses, and links). Engagement metrics consist of comments, shares, and reactions.",Multivariate,Business,Clustering,Integer,7051,11
Superconductivty Data, 10/11/2018,Two file s contain data on 21263 superconductors and their relevant features.,Multivariate,Physics and Chemistry,Regression,Real,21263,81
Kitsune Network Attack, 10/15/2019,"A cybersecurity dataset containing nine different network attacks on a commercial IP-based surveillance system and an IoT network. The dataset includes reconnaissance, MitM, DoS, and botnet attacks.","Multivariate, Sequential, Time-Series",Computer Science,"Classification, Clustering, Causal-Discovery",Real,27170754,7
Audiology (Original), 12/2/1987,Nominal audiology dataset from Baylor,Multivariate,Health and Medicine,Classification,Categorical,226,-
Waveform Database Generator (Version 2), 11/9/1988,CART book's waveform domains,"Multivariate, Data-Generator",Physics and Chemistry,Classification,Real,5000,-
Parkinson's Disease Classification, 11/4/2018,The data used in this study were gathered from 188 patients with PD (107 men and 81 women) with ages ranging from 33 to 87 (65.1ÃÂ±10.9).,Multivariate,Computer Science,Classification,"Integer, Real",756,754
Entree Chicago Recommendation Data, 3/8/2000,This data contains a record of user interactions with the Entree Chicago restaurant recommendation system.,"Transactional, Sequential",Other,Recommender-Systems,Categorical,50672,-
Jute Pest, 11/17/2023,"This dataset has 17 classes. Data are divided in three partition train, val and test. The classes are 
0 : Beet Armyworm
1 : Black Hairy
2 : Cutworm
3 : Field Cricket
4 : Jute Aphid
5 : Jute Hairy
6 : Jute Red Mite
7 : Jute Semilooper
8 : Jute Stem Girdler
9 : Jute Stem Weevil
10 : Leaf Beetle
11 : Mealybug
12 : Pod Borer
13 : Scopula Emissaria
14 : Termite
15 : Termite odontotermes (Rambur)
16 : Yellow Mite",Image,Biology,"Classification, Other",Categorical,7235,17
Product Classification and Clustering, 8/6/2023,"This dataset was collected from PriceRunner, a popular product comparison platform. It includes 35311 product offers from 10 categories, provided by 306 different merchants. 

This dataset offers an ideal ground for evaluating classification, clustering, and entity matching algorithms. Although it contains product-related data, it can still be applied to any problem involving text/short-text mining.","Tabular, Text",Business,"Classification, Clustering, Other","Categorical, Integer",35311,7
gene expression cancer RNA-Seq, 6/8/2016,"This collection of data is part of the RNA-Seq (HiSeq) PANCAN data set, it is a random extraction of gene expressions of patients having different types of tumor: BRCA, KIRC, COAD, LUAD and PRAD.",Multivariate,Biology,"Classification, Clustering",Real,801,20531
Australian Sign Language Signs, 4/19/1999,This data consists of sample of Auslan (Australian Sign Language) signs. Examples of 95 signs were collected from five signers with a total of 6650 sign samples.,"Multivariate, Time-Series",Other,Classification,"Categorical, Real",6650,-
Educational Process Mining (EPM): A Learning Analytics Data Set, 9/23/2015,Educational Process Mining data set is built from the recordings of 115 subjects' activities through a logging application while learning with an educational simulator.,"Multivariate, Sequential, Time-Series",Computer Science,"Classification, Regression, Clustering",Integer,230318,-
Stock Portfolio Performance, 4/21/2016,The data set of performances of weighted scoring stock portfolios are obtained with mixture design from the US stock market historical database.,Multivariate,Business,Regression,Real,315,12
Large-scale Wave Energy Farm, 9/16/2023,"Wave energy is a rapidly advancing and promising renewable energy source that holds great potential for addressing the challenges of global warming and climate change. However, optimizing energy output in large wave farms presents a complex problem due to the expensive calculations required to account for hydrodynamic interactions between wave energy converters (WECs). Developing a fast and accurate surrogate model is crucial to overcome these challenges. In light of this, we have compiled an extensive WEC dataset that includes 54,000 and 9,600 configurations involving 49 and 100 WECs, coordination, power, q-factor, and total farm power output. The dataset was derived from a study published at the GECCO conference and received the prestigious Best Paper award. We want to acknowledge the support of the University of Adelaide Phoenix HPC service in conducting this research. For more details, please refer to the following link: https://dl.acm.org/doi/abs/10.1145/3377930.3390235.",Multivariate,Engineering,Regression,Real,63600,149
Audiology (Standardized), 8/17/1992,Standardized version of the original audiology database,Multivariate,Health and Medicine,Classification,Categorical,226,70
LED Display Domain, 11/9/1988,From Classification and Regression Trees book; We provide here 2 C programs for generating sample databases,"Multivariate, Data-Generator",Computer Science,Classification,Categorical,-,7
Electrical Grid Stability Simulated Data, 11/15/2018,The local stability analysis of the 4-node star system (electricity producer is in the center) implementing Decentral Smart Grid Control concept.,Multivariate,Physics and Chemistry,"Classification, Regression",Real,10000,12
Heterogeneity Activity Recognition, 10/25/2015,"The Heterogeneity Human Activity Recognition (HHAR) dataset from Smartphones and Smartwatches is a dataset devised to benchmark human activity recognition algorithms (classification, automatic data segmentation, sensor fusion, feature extraction, etc.) in real-world contexts; specifically, the dataset is gathered with a variety of different device models and use-scenarios, in order to reflect sensing heterogeneities to be expected in real deployments.","Multivariate, Time-Series",Computer Science,"Classification, Clustering",Real,43930257,-
Traffic Flow Forecasting, 5/14/2022,The task for this dataset is to forecast the spatio-temporal traffic volume based on the historical traffic volume and other features in neighboring locations.,Other,Computer Science,Regression,-,2101,-
Hierarchical Sales Data, 7/2/2021,This dataset contains hierarchical sales data gathered from an Italian grocery store,Time-Series,Engineering,"Clustering, Other",-,1798,237
Condition monitoring of hydraulic systems, 4/25/2018,The data set addresses the condition assessment of a hydraulic test rig based on multi sensor data. Four fault types are superimposed with several severity grades impeding selective quantification.,"Multivariate, Time-Series",Computer Science,"Classification, Regression",Real,2205,43680
ISTANBUL STOCK EXCHANGE, 5/31/2013,"Data sets includes returns of Istanbul Stock Exchange with seven other international index; SP, DAX, FTSE, NIKKEI, BOVESPA, MSCE_EU, MSCI_EM from Jun 5, 2009 to Feb 22, 2011.","Multivariate, Univariate, Time-Series",Business,"Classification, Regression",Real,536,10
Plants, 12/30/2008,Data has been extracted from the USDA plants database. It contains all plants (species and genera) in the database and the states of USA and Canada where they occur.,Multivariate,Biology,Clustering,Categorical,34781,70
SPECTF Heart, 9/30/2001,Data on cardiac Single Proton Emission Computed Tomography (SPECT) images. Each patient classified into two categories: normal and abnormal.,Multivariate,Health and Medicine,Classification,Integer,267,44
Corel Image Features, 6/30/1999,"This dataset contains image features extracted from a Corel image collection. Four sets of features are available based on the color histogram, color histogram layout, color moments, and co-occurence",Multivariate,Other,-,Real,68040,-
Student Academics Performance, 9/15/2018,"The dataset tried to find the end semester percentage prediction based on different social, economic and academic attributes.",Multivariate,Computer Science,Classification,-,300,22
News Popularity in Multiple Social Media Platforms, 2/19/2018,"Large data set of news items and their respective social feedback on multiple platforms: Facebook, Google+ and LinkedIn.","Multivariate, Time-Series, Text",Computer Science,Regression,"Integer, Real",93239,-
Rice Leaf Diseases, 4/13/2019,"There are three classes/diseases: Bacterial leaf blight, Brown spot, and Leaf smut, each having 40 images. The format of all images is jpg.",Multivariate,Computer Science,Classification,Integer,120,-
Bosch CNC Machining Dataset,Linked on 11/9/2022,"Manufacturing processes have undergone tremendous technological progress in recent decades. To meet the agile philosophy in industry, data-driven algorithms need to handle growing complexity, particularly in Computer Numerical Control machining. To enhance the scalability of machine learning in real-world applications, this paper presents a benchmark dataset for process monitoring of brownfield milling machines based on acceleration data. The data is collected from a real-world production plant using a smart data collection system over a two-years period. In this work, the edge-to-cloud setup is presented followed by an extensive description of the different normal and abnormal processes. An analysis of the dataset highlights the challenges of machine learning in industry caused by the environmental and industrial factors. The new dataset is published with this paper and available at: https://github.com/boschresearch/CNC_Machining.","Multivariate, Time-Series",Engineering,"Classification, Clustering",Real,2700,3
Post-Operative Patient, 5/31/1993,Dataset of patient features,Multivariate,Health and Medicine,Classification,"Categorical, Integer",90,8
Mice Protein Expression, 8/3/2015,"Expression levels of 77 proteins measured in the cerebral cortex of 8 classes of control and Down syndrome mice exposed to context fear conditioning, a task used to assess associative learning.",Multivariate,Biology,"Classification, Clustering",Real,1080,80
Chess (King-Rook vs. King-Knight), 10/2/1988,Knight Pin Chess End-Game Database Creator,"Multivariate, Data-Generator",Games,Classification,"Categorical, Integer",-,-
Basketball dataset, 7/1/2019,"It's data collected from different volunteers that are done in a basketball practice: dribbling, pass, shoot, picking the ball, and holding the ball.",Time-Series,Games,Classification,Integer,10000,7
South German Credit, 11/28/2019,700 good and 300 bad credits with 20 predictor variables. Data from 1973 to 1975. Stratified sample from actual credits with bad credits heavily oversampled. A cost matrix can be used.,Multivariate,Business,"Classification, Regression, Clustering","Integer, Real",1000,21
Hepatitis C Virus (HCV) for Egyptian patients, 9/29/2019,Egyptian patients who underwent treatment dosages for HCV about 18 months. Discretization should be applied based on expert recommendations; there is an attached file shows how.,Multivariate,Health and Medicine,Classification,Real,1385,28
Pedestrians in Traffic, 7/3/2019,This data-set contains a number of pedestrian tracks recorded from a vehicle driving in a town in southern Germany. The data is particularly well-suited for multi-agent motion prediction tasks.,"Multivariate, Sequential, Time-Series",Computer Science,"Classification, Regression, Causal-Discovery",Real,4760,14
Molecular Biology (Protein Secondary Structure),N/A,From CMU connectionist bench repository; Classifies secondary structure of certain globular proteins,Sequential,Biology,Classification,Categorical,128,-
Airfoil Self-Noise, 3/3/2014,"NASA data set, obtained from a series of aerodynamic and acoustic tests of two and three-dimensional airfoil blade sections conducted in an anechoic wind tunnel.",Multivariate,Physics and Chemistry,Regression,Real,1503,5
Gas Turbine CO and NOx Emission Data Set, 11/28/2019,"The dataset contains 36733 instances of 11 sensor measures aggregated over one hour, from a gas turbine located in Turkey for the purpose of studying flue gas emissions, namely CO and NOx.",Multivariate,Computer Science,"Regression, Clustering",Real,36733,12
Drug Reviews (Druglib.com), 10/1/2018,"The dataset provides patient reviews on specific drugs along with related conditions. Reviews and ratings are grouped into reports on the three aspects benefits, side effects and overall comment.","Multivariate, Text",Health and Medicine,"Classification, Regression, Clustering",Integer,4143,8
Power Consumption of Tetouan City, 8/13/2023,This dataset is related to power consumption of three different distribution networks of Tetouan city which is located in north Morocco.,"Multivariate, Time-Series",Social Science,Regression,"Real, Integer",52417,6
Skin Segmentation, 7/16/2012,"The Skin Segmentation dataset is constructed over B, G, R color space. Skin and Nonskin dataset is generated using skin textures from face images of diversity of age, gender, and race people.",Univariate,Computer Science,Classification,Real,245057,3
KDD Cup 1998, 7/19/1998,"This is the data set used for The Second International Knowledge Discovery and Data Mining Tools Competition, which was held in conjunction with KDD-98",Multivariate,Other,Regression,"Categorical, Integer",191779,-
Statlog (Image Segmentation), 10/31/1990,This dataset is an image segmentation database similar to a database already present in the repository (Image segmentation database) but in a slightly different form.,Multivariate,Other,Classification,Real,2310,19
EMG Data for Gestures, 1/6/2019,These are files of raw EMG data recorded by MYO Thalmic bracelet,Time-Series,Health and Medicine,Classification,Real,30000,-
Paper Reviews, 10/22/2017,This sentiment analysis data set contains scientific paper reviews from an international conference on computing and informatics. The task is to predict the orientation or the evaluation of a review.,Text,Computer Science,"Classification, Regression",Integer,405,10
Trains, 6/23/1994,"2 data formats (structured, one-instance-per-line)",Multivariate,Other,Classification,Categorical,10,-
ImageNet,Linked on 11/26/2021,A well-known large-scale image classification dataset with between 1000 and 20000 class labels and multiple million images.,Image,Computer Science,Classification,-,14000000,-
Pittsburgh Bridges, 7/31/1990,Bridges database that has original and numeric-discretized datasets,Multivariate,Other,Classification,"Categorical, Integer",108,12
Dota2 Games Results, 8/13/2016,Dota 2 is a popular computer game with two teams of 5 players. At the start of the game each player chooses a unique hero with different strengths and weaknesses.,Multivariate,Games,Classification,-,102944,115
Tennis Major Tournament Match Statistics, 5/31/2014,This is a collection of 8 files containing the match statistics for both women and men at the four major tennis tournaments of the year 2013. Each file has 42 columns and a minimum of 76 rows.,Multivariate,Other,"Classification, Regression, Clustering","Integer, Real",127,42
OPPORTUNITY Activity Recognition, 6/8/2012,"The OPPORTUNITY Dataset for Human Activity Recognition from Wearable, Object, and Ambient Sensors is a dataset devised to benchmark human activity recognition algorithms (classification, automatic data segmentation, sensor fusion, feature extraction, etc).","Multivariate, Time-Series",Computer Science,Classification,Real,2551,-
Occupancy Detection, 2/28/2016,"Experimental data used for binary classification (room occupancy) from Temperature,Humidity,Light and CO2. Ground-truth occupancy was obtained from time stamped pictures that were taken every minute.","Multivariate, Time-Series",Computer Science,Classification,Real,20560,6
Steel Industry Energy Consumption, 8/13/2023,The data is collected from a smart small-scale steel industry in South Korea.,Multivariate,Physics and Chemistry,Regression,"Real, Categorical",35040,9
Single Elder Home Monitoring: Gas and Position, 5/27/2023,"This dataset contains gas and temperature sensors as well as movement infra-red sensors from the monitoring of an elder person living alone in their own home from 2019-11-06 to 2020-02-13. The measurings have a temporal resolution of 20 seconds. The air and gas sensors measure temperature, humidity, CO2, CO and MOX readings. The data from the position sensors are binary; for each room, a 1 means that movement has been detected in that room while a 0 means that the sensor has gone back to baseline. The attached figure represents a simple layout of the monitored home as well as the sensors locations. The dataset also includes 19 days of measurements (from 2020-01-25 to 2020-02-13) where noone was occupying the room (except for an esporadic visit the 2020-01-29 at 15:), as reference data",Tabular,Engineering,Classification,Real,444631,10
HTRU2, 2/13/2017,"Pulsar candidates collected during the HTRU survey. Pulsars are a type of star, of considerable scientific interest. Candidates must be classified in to pulsar and non-pulsar classes to aid discovery.",Multivariate,Physics and Chemistry,"Classification, Clustering",Real,17898,8
Gas Sensor Array Drift at Different Concentrations, 10/22/2013,This archive contains 13910 measurements from 16 chemical sensors exposed to 6 different gases at various concentration levels.,"Multivariate, Time-Series",Computer Science,"Classification, Regression, Clustering, Causa",Real,13910,128
YouTube Spam Collection, 3/25/2017,"It is a public set of comments collected for spam research. It has five datasets composed by 1,956 real messages extracted from five videos that were among the 10 most viewed on the collection period.",Text,Computer Science,Classification,-,1956,3
Shuttle Landing Control, 10/31/1988,Tiny database; all nominal values,Multivariate,Physics and Chemistry,Classification,Categorical,15,6
Travel Review Ratings, 12/18/2018,Google reviews on attractions from 24 categories across Europe are considered. Google user rating ranges from 1 to 5 and average user rating per category is calculated.,"Multivariate, Text",Other,"Classification, Clustering",Real,5456,24
User Knowledge Modeling, 6/25/2013,It is the real dataset about the students' knowledge status about the subject of Electrical DC Machines. The dataset had been obtained from Ph.D. Thesis.,Multivariate,Computer Science,"Classification, Clustering",Integer,403,5
E. Coli Genes, 7/13/2001,"Data giving characteristics of each ORF (potential gene) in the E. coli genome. Sequence, homology (similarity to other genes) and structural information, and function (if known) are provided.",Relational,Biology,-,-,-,-
FMA: A Dataset For Music Analysis, 5/23/2017,"FMA features 106,574 tracks and includes song title, album, artist, genres; play counts, favorites, comments; description, biography, tags; together with audio (343 days, 917 GiB) and features.","Multivariate, Time-Series",Computer Science,"Classification, Clustering",Real,106574,-
Australian Sign Language Signs (High Quality), 2/25/2002,This data consists of sample of Auslan (Australian Sign Language) signs. 27 examples of each of 95 Auslan signs were captured from a native signer using high-quality position trackers,"Multivariate, Time-Series",Other,Classification,Real,2565,-
Cervical Cancer Behavior Risk, 7/16/2019,"The dataset contains 19 attributes regarding ca cervix behavior risk with class label is ca_cervix with 1 and 0 as values which means the respondent with and without ca cervix, respectively.","Multivariate, Univariate",Health and Medicine,"Classification, Clustering",Integer,72,19
Diabetic Retinopathy Debrecen, 11/2/2014,This dataset contains features extracted from the Messidor image set to predict whether an image contains signs of diabetic retinopathy or not.,Multivariate,Health and Medicine,Classification,"Integer, Real",1151,19
Parkinson's Speech with Multiple Types of Sound Recordings, 6/11/2014,"The training data belongs to 20 Parkinson's Disease (PD) patients and 20 healthy subjects. From all subjects, multiple types of sound recordings (26) are taken.",Multivariate,Health and Medicine,"Classification, Regression","Integer, Real",1040,-
CIFAR-10,Linked on 11/24/2021,"A well-known image classification dataset, 10 classes, 32 x 32 pixel images.",Image,Computer Science,Classification,-,60000,-
Communities and Crime Unnormalized, 3/1/2011,"Communities in the US. Data combines socio-economic data from the '90 Census, law enforcement data from the 1990 Law Enforcement Management and Admin Stats survey, and crime data from the 1995 FBI UCR",Multivariate,Social Science,Regression,Real,2215,125
Connectionist Bench (Vowel Recognition - Deterding Data),N/A,Speaker independent recognition of the eleven steady state vowels of British English using a specified training set of lpc derived log area ratios.,-,Other,Classification,Real,528,10
Physical Therapy Exercises, 5/7/2022,"This dataset contains wearable inertial and magnetic sensor data during the execution of physical therapy exercises. There are eight types of physical therapy exercises, each of which has three execution types (correct, fast, and low-amplitude). Each execution type of each type of exercise was performed multiple times by five subjects. The subjects wore five MTx sensor units manufactured by XSens. Each unit contains three tri-axial sensors: an accelerometer, a gyroscope, and a magnetometer, sampled at 25 Hz.",Time-Series,Engineering,"Classification, Clustering, Other",-,268881,-
Bone marrow transplant: children, 4/20/2020,"The data set describes pediatric patients with several hematologic diseases, who were subject to the unmanipulated allogeneic unrelated donor hematopoietic stem cell transplantation.",Multivariate,Health and Medicine,"Classification, Regression","Integer, Real",187,36
PPG-DaLiA, 7/29/2019,"PPG-DaLiA contains data from 15 subjects wearing physiological and motion sensors, providing a PPG dataset for motion compensation and heart rate estimation in Daily Life Activities.","Multivariate, Time-Series",Computer Science,Regression,Real,8300000,-
Alcohol QCM Sensor, 7/21/2019,"Five different QCM gas sensors are used, and five different gas measurements (1-octanol, 1-propanol, 2-butanol, 2-propanol and 1-isobutanol) are conducted in each of these sensors.",Multivariate,Computer Science,"Classification, Regression, Clustering",Real,125,8
Amazon Commerce Reviews, 6/10/2011,The dataset is used for authorship identification in online Writeprint which is a new research field of pattern recognition.,"Multivariate, Text, Domain-Theory",Other,Classification,Real,1500,10000
Palmer Penguins,Linked on 11/14/2021,"An introductory dataset presented as an alternative to Iris and useful for teaching data exploration/visualization. Data comes from 3 penguin species in the islands of Palmer Archipelago, Antarctica.",Tabular,Biology,Classification,-,344,-
NATICUSdroid (Android Permissions), 4/24/2022,Contains permissions extracted from more than 29000 benign & malware Android apps released between 2010-2019.,Tabular,Computer Science,Classification,-,29333,86
Audit Data, 7/13/2018,Exhaustive one year non-confidential data in the year 2015 to 2016 of firms is collected from the Auditor Office of India to build a predictor for classifying suspicious firms.,Multivariate,Business,Classification,Real,777,-
Cuff-Less Blood Pressure Estimation, 7/26/2015,This Data set provides preprocessed and cleaned vital signals which can be used in designing algorithms for cuff-less estimation of the blood pressure.,Multivariate,Health and Medicine,"Classification, Regression",Real,12000,-
Residential Building, 2/18/2018,"Data set includes construction cost, sale prices, project variables, and economic variables corresponding to real estate single-family residential apartments in Tehran, Iran.",Multivariate,Computer Science,Regression,Real,372,-
Economic Sanctions,N/A,Domain Theory on Economic Sanctions; Undocumented,Domain-Theory,Business,-,-,-,-
